album_clean,n_tracks,Danceability,Energy,Acousticness,Valence,Tempo,album_order
Taylor Swift,14,0.5514285714285714,0.6579285714285714,0.1931942857142857,0.4225,120.77214285714285,1
Fearless,13,0.5927692307692307,0.6373076923076924,0.1759369230769231,0.38423076923076926,113.23546153846154,2
Speak Now,14,0.5449285714285714,0.6632857142857143,0.1898878571428571,0.4202857142857143,138.86485714285715,3
Red,16,0.622875,0.6195625,0.1161160625,0.49693750000000003,109.6844375,4
1989,13,0.6493846153846154,0.6990769230769232,0.11304076923076924,0.4626,124.0893076923077,5
Reputation,15,0.6579333333333334,0.5828666666666666,0.13851466666666667,0.2934,127.54013333333334,6
Lover,18,0.6582222222222223,0.5452222222222223,0.33374333333333334,0.48144444444444445,119.97272222222222,7
Folklore,16,0.567875,0.4250625,0.7108125000000001,0.38125,116.1481875,8
Evermore,15,0.5188666666666667,0.49133333333333334,0.7953333333333333,0.42060000000000003,117.47906666666667,9
Midnights,13,0.6385384615384615,0.41015384615384615,0.3874230769230769,0.22353076923076923,117.4903076923077,10
